SalePrice,LotArea,ExterQual,OverallQual,GrLivArea,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageCars,GarageType,TotalBsmtSF,FullBath,PoolArea,Heating,KitchenQual,Neighborhood
208500,8450,Gd,7,1710,8,2003,2003,2,Attchd,856,2,0,GasA,Gd,CollgCr
181500,9600,TA,6,1262,6,1976,1976,2,Attchd,1262,2,0,GasA,TA,Veenker
223500,11250,Gd,7,1786,6,2001,2002,2,Attchd,920,2,0,GasA,Gd,CollgCr
140000,9550,TA,7,1717,7,1915,1970,3,Detchd,756,1,0,GasA,Gd,Crawfor
250000,14260,Gd,8,2198,9,2000,2000,3,Attchd,1145,2,0,GasA,Gd,NoRidge
143000,14115,TA,5,1362,5,1993,1995,2,Attchd,796,1,0,GasA,TA,Mitchel
307000,10084,Gd,8,1694,7,2004,2005,2,Attchd,1686,2,0,GasA,Gd,Somerst
200000,10382,TA,7,2090,7,1973,1973,2,Attchd,1107,2,0,GasA,TA,NWAmes
129900,6120,TA,7,1774,8,1931,1950,2,Detchd,952,2,0,GasA,TA,OldTown
118000,7420,TA,5,1077,5,1939,1950,1,Attchd,991,1,0,GasA,TA,BrkSide
129500,11200,TA,5,1040,5,1965,1965,1,Detchd,1040,1,0,GasA,TA,Sawyer
345000,11924,Ex,9,2324,11,2005,2006,3,Not Applicable,1175,3,0,GasA,Ex,NridgHt
144000,12968,TA,5,912,4,1962,1962,1,Detchd,912,1,0,GasA,TA,Sawyer
279500,10652,Gd,7,1494,7,2006,2007,3,Attchd,1494,2,0,GasA,Gd,CollgCr
157000,10920,TA,6,1253,5,1960,1960,1,Attchd,1253,1,0,GasA,TA,NAmes
132000,6120,TA,7,854,5,1929,2001,2,Detchd,832,1,0,GasA,TA,BrkSide
149000,11241,TA,6,1004,5,1970,1970,2,Attchd,1004,1,0,GasA,TA,NAmes
90000,10791,TA,4,1296,6,1967,1967,2,Not Applicable,0,2,0,GasA,TA,Sawyer
159000,13695,TA,5,1114,6,2004,2004,2,Detchd,1114,1,0,GasA,Gd,SawyerW
139000,7560,TA,5,1339,6,1958,1965,1,Attchd,1029,1,0,GasA,TA,NAmes
325300,14215,Gd,8,2376,9,2005,2006,3,Not Applicable,1158,3,0,GasA,Gd,NridgHt
139400,7449,TA,7,1108,6,1930,1950,1,Attchd,637,1,0,GasA,Gd,IDOTRR
230000,9742,Gd,8,1795,7,2002,2002,2,Attchd,1777,2,0,GasA,Gd,CollgCr
129900,4224,TA,5,1060,6,1976,1976,2,Attchd,1040,1,0,GasA,TA,MeadowV
154000,8246,TA,5,1060,6,1968,2001,1,Attchd,1060,1,0,GasA,Gd,Sawyer
256300,14230,Gd,8,1600,7,2007,2007,3,Attchd,1566,2,0,GasA,Gd,NridgHt
134800,7200,TA,5,900,5,1951,2000,2,Detchd,900,1,0,GasA,Gd,NAmes
306000,11478,Gd,8,1704,7,2007,2008,3,Attchd,1704,2,0,GasA,Gd,NridgHt
207500,16321,TA,5,1600,6,1957,1997,1,Attchd,1484,1,0,GasA,TA,NAmes
