Series ID,Series Name,Units,Region Name,Region Code,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,Ave_Before,Ave_After
ABIL148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Abilene, TX",10180,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.5,3.4
AKRO439UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Akron, OH",10420,4.5,4.6,4.6,4.6,4.6,4.7,4.8,4.9,5,5.1,4.58,4.9
ALBA513UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albany, GA",10500,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.26,4.2
ALBA536UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albany-Schenectady-Troy, NY",10580,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.3,3.26
ALBU735UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albuquerque, NM",10740,4.1,4.1,4.1,4.1,4,4.1,4,4,4,4,4.08,4.02
ALEX722UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Alexandria, LA",10780,4.1,4.2,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.2,4.24,4.18
ALLE942UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Allentown-Bethlehem-Easton, PA-NJ",10900,3.9,3.9,3.9,3.9,3.9,4,4,4,4.1,4.1,3.9,4.04
ALTO042UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Altoona, PA",11020,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.6,3.74
AMAR148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Amarillo, TX",11100,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.16,3.1
AMES119UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Ames, IA",11180,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.7,2.9,3,2.48,2.74
ANCH202UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Anchorage, AK",11260,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.1,4.1,4.1,4.3,4.16
ANNA426UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Ann Arbor, MI",11460,3.9,4,4.1,4.1,4.1,4.2,4.3,4.5,4.5,4.6,4.04,4.42
ANNI501UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Anniston-Oxford-Jacksonville, AL",11500,3.4,3.5,3.6,3.6,3.5,3.5,3.5,3.6,3.6,3.6,3.52,3.56
APPL555UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Appleton, WI",11540,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.58,2.7
ASHE737UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Asheville, NC",11700,2.9,2.9,9.3,6.7,5.6,4.8,4.5,4.4,4.3,4.2,5.48,4.44
ATHE013UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Athens-Clarke County, GA",12020,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.44,3.28
ATLA013UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Atlanta-Sandy Springs-Roswell, GA",12060,3.5,3.5,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.52,3.5
ATLA134UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Atlantic City-Hammonton, NJ",12100,6.5,6.5,6.4,6.4,6.4,6.3,6.2,6.3,6.5,6.6,6.44,6.38
AUBU201UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Auburn-Opelika, AL",12220,3.1,3.1,3.2,3.1,3.1,3.1,3,3.1,3.1,3.1,3.12,3.08
AUGU213UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Augusta-Richmond County, GA-SC",12260,4.6,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.3,4.64,4.38
AUST448UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Austin-Round Rock, TX",12420,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.58,3.44
BAKE506UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bakersfield, CA",12540,8.7,8.7,8.7,8.7,8.7,8.6,8.5,8.5,8.5,8.6,8.7,8.54
BALT524UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Baltimore-Columbia-Towson, MD",12580,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.12
BATO922UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Baton Rouge, LA",12940,4.1,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.26,4.2
BATT926UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Battle Creek, MI",12980,5.5,5.6,5.7,5.7,5.7,5.8,5.9,6,6.1,6.1,5.64,5.98
BAYC026UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bay City, MI",13020,5.8,5.9,6,6,6,6.1,6.3,6.4,6.5,6.6,5.94,6.38
BEAU148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Beaumont-Port Arthur, TX",13140,5.6,5.5,5.5,5.5,5.5,5.3,5.3,5.2,5.2,5.2,5.52,5.24
BELL353UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bellingham, WA",13380,4.7,4.6,4.6,4.6,4.6,4.5,4.4,4.3,4.1,4.1,4.62,4.28
BEND441UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bend-Redmond, OR",13460,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.5,4.3,4.4
BILL730UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Billings, MT",13740,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.8,2.82,2.72
BING736UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Binghamton, NY",13780,4,4,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.94,3.86
BIRM801UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Birmingham-Hoover, AL",13820,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.08,3.1
BISM938UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bismarck, ND",13900,2.4,2.4,2.4,2.4,2.4,2.3,2.4,2.4,2.3,2.3,2.4,2.34
BLAC951UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Blacksburg-Christiansburg-Radford, VA",13980,3.3,3.3,3.3,3.3,3.3,3.2,3.4,3.6,3.7,3.8,3.3,3.54
BLOO017UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bloomington, IL",14010,4,3.9,3.8,3.8,3.8,3.7,3.6,3.5,3.4,3.4,3.86,3.52
BLOO018UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bloomington, IN",14020,3.9,3.9,4,4,4,3.9,3.8,3.6,3.4,3.3,3.96,3.6
BOIS216UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Boise City, ID",14260,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.6,3.44
BOUL508UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Boulder, CO",14500,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.58,4.62
BOWUR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bowling Green, KY",14540,4.9,4.9,5,5,4.9,5,4.9,4.9,4.8,4.7,4.94,4.86
BREM753UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bremerton-Silverdale, WA",14740,4.6,4.6,4.5,4.5,4.5,4.5,4.4,4.3,4.1,4.1,4.54,4.28
BROW148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Brownsville-Harlingen, TX",15180,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.4,5.8,6.3,5.32,5.58
BRUN213UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Brunswick, GA",15260,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1
BUFF336UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,3.9,3.9,3.9,3.9,3.9,3.9,4,4,3.9,3.8,3.9,3.92
BURL537UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Burlington, NC",15500,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.6,3.54
CANT939UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Canton-Massillon, OH",15940,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.9,5,5.1,4.7,4.9
CAPE912UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Cape Coral-Fort Myers, FL",15980,3.6,3.7,3.7,3.7,3.7,3.7,3.8,3.9,3.9,4,3.68,3.86
CARS132UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Carson City, NV",16180,4.9,4.9,4.9,4.9,4.9,4.7,4.6,4.4,4.3,4.3,4.9,4.46
CASP256UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Casper, WY",16220,3.4,3.5,3.6,3.6,3.6,3.6,3.5,3.4,3.3,3.3,3.54,3.42
CEDA319UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Cedar Rapids, IA",16300,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.6,3.7,3.8,3.4,3.6
CHAM517UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Champaign-Urbana, IL",16580,4.2,4.1,3.9,3.9,3.9,3.8,3.7,3.6,3.5,3.4,4,3.6
CHAR654UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Charleston, WV",16620,4.1,4.1,4.1,4.1,4.1,4,3.8,3.7,3.7,3.6,4.1,3.76
CHAR745UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Charleston-North Charleston, SC",16700,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.5,3.76,3.58
CHAR737UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Charlotte-Concord-Gastonia, NC-SC",16740,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.7,3.62
